index,name,rank,generation,evolves_from,type1,type2,hp,atk,def,spatk,spdef,speed,total
377,Regirock,Legendary,3,Original,Rock,Rock,80,100,200,50,100,50,580
378,Regice,Legendary,3,Original,Ice,Ice,80,50,100,100,200,50,580
379,Registeel,Legendary,3,Original,Steel,Steel,80,75,150,75,150,50,580
380,Latias,Legendary,3,Original,Dragon,Psychic,80,80,90,110,130,110,600
381,Latios,Legendary,3,Original,Dragon,Psychic,80,90,80,130,110,110,600
382,Kyogre,Legendary,3,Original,Water,Water,100,100,90,150,140,90,670
383,Groudon,Legendary,3,Original,Ground,Ground,100,150,140,100,90,90,670
384,Rayquaza,Legendary,3,Original,Dragon,Flying,105,150,90,150,90,95,680
385,Jirachi,Mythical,3,Original,Steel,Psychic,100,100,100,100,100,100,600
386,Deoxys,Mythical,3,Original,Psychic,Psychic,50,150,50,150,50,150,600
